Temperature,L,R,A_M,Color,Spectral_Class,Type
2840,0.00065,0.11,16.98,Red,M,0
2637,0.00073,0.127,17.22,Red,M,0
2600,0.0004,0.096,17.4,Red,M,0
2650,0.00069,0.11,17.45,Red,M,0
2700,0.00018,0.13,16.05,Red,M,0
3600,0.0029,0.51,10.69,Red,M,1
3129,0.0122,0.3761,11.79,Red,M,1
3134,0.0004,0.196,13.21,Red,M,1
3575,123000,45,-6.78,Red,M,4
3574,200000,89,-5.24,Red,M,4
3625,184000,84,-6.74,Red,M,4
33750,220000,26,-6.1,Blue,B,4
3490,270000,1520,-9.4,Red,M,5
3180,0.001,0.35,11.76,Red,M,1
2890,0.0034,0.24,13.46,Red,M,1
3342,0.0015,0.307,11.87,Red,M,1
2621,0.0006,0.098,12.81,Red,M,1
3158,0.00135,0.161,13.98,Red,M,1
7100,0.00029,0.012,14.09,White-Yellow,F,2
3610,132000,1522,-10.86,Red,M,5
3553,145000,1324,-11.03,Red,M,5
4015,282000,1534,-11.39,Red,K,5
3625,74000,876,-10.25,Red,M,5
12912,0.00071,0.00945,12.83,Blue white,B,2
14732,0.00011,0.00892,12.89,white,F,2
7723,0.00014,0.00878,14.81,White,A,2
12984,0.00088,0.00996,11.23,Blue White,B,2
29560,188000,6.02,-4.01,Blue-white,B,3
8945,38,2.487,0.12,Blue-White,A,3
14060,1092,5.745,-2.04,Blue-white,A,3
16390,1278,5.68,-3.32,Blue-white,B,3
25070,14500,5.92,-3.98,Blue-white,B,3
3225,0.00076,0.121,19.63,Red,M,0
2935,0.00087,0.0932,16.88,Red,M,0
2861,0.00019,0.0899,16.71,Red,M,0
2856,0.000896,0.0782,19.56,Red,M,0
2731,0.000437,0.0856,18.09,Red,M,0
3095,0.00019,0.492,10.87,Red,M,1
3607,0.00023,0.38,10.34,Red,M,1
3100,0.008,0.31,11.17,Red,M,1
2989,0.0087,0.34,13.12,Red,M,1
3542,0.0009,0.62,14.23,Red,M,1
3243,0.0023,0.73,14.75,Red,M,1
16787,246730,62,-6.35,Blue,O,4
18734,224780,46,-7.45,Blue,O,4
9892,593900,80,-7.262,Blue,O,4
10930,783930,25,-6.224,Blue,O,4
23095,347820,86,-5.905,Blue,O,4
21738,748890,92,-7.346,Blue,O,4
24145,382993,1494,-8.84,Blue-white,B,5
38234,272830,1356,-9.29,Blue,O,5
32489,648430,1948.5,-10.84,Blue,O,5
27739,849420,1252,-7.59,Blue-white,B,5
3523,0.0054,0.319,12.43,Red,M,1
3598,0.0027,0.67,13.667,Red,M,1
3142,0.00132,0.258,14.12,Red,M,1
3496,0.00125,0.336,14.94,Red,M,1
3324,0.0065,0.471,12.78,Red,M,1
3463,0.0027,0.675,14.776,Red,M,1
16790,0.0014,0.0121,12.87,Blue,B,2
15680,0.00122,0.0114,11.92,Blue,B,2
14982,0.00118,0.0113,12.23,Blue,B,2
13340,0.00109,0.0116,12.9,Blue,B,2
18340,0.00134,0.0124,11.22,Blue,B,2
3218,0.000452,0.0987,17.34,Red,M,0
3453,0.000621,0.0773,17.08,Red,M,0
2889,0.000352,0.0973,16.93,Red,M,0
25390,223000,57,-5.92,Blue,O,4
11567,251000,36,-6.245,Blue,O,4
12675,452000,83,-5.62,Blue,O,4
2835,0.00034,0.0918,16.96,Red,M,0